year,region,time_index,load_mw,weather_year
2030,p60,1,569.0,2012
2030,p60,2,699.0,2012
2030,p60,3,672.0,2012
2030,p60,4,668.0,2012
2030,p60,5,544.0,2012
2030,p60,6,648.0,2012
2030,p60,7,657.0,2012
2030,p60,8,679.0,2012
2030,p60,9,868.0,2012
2030,p60,10,667.0,2012
2030,p60,11,606.0,2012
2030,p60,12,757.0,2012
2030,p60,13,736.0,2012
2030,p60,14,680.0,2012
2030,p60,15,642.0,2012
2030,p60,16,661.0,2012
2030,p60,17,720.0,2012
2030,p60,18,642.0,2012
2030,p60,19,678.0,2012
2030,p60,20,607.0,2012
2030,p60,21,664.0,2012
2030,p60,22,544.0,2012
2030,p60,23,685.0,2012
2030,p60,24,599.0,2012
2030,p60,25,690.0,2012
2030,p60,26,636.0,2012
2030,p60,27,702.0,2012
2030,p60,28,778.0,2012
2030,p60,29,842.0,2012
2030,p60,30,772.0,2012
2030,p60,31,706.0,2012
2030,p60,32,713.0,2012
2030,p60,33,689.0,2012
2030,p60,34,727.0,2012
2030,p60,35,632.0,2012
2030,p60,36,679.0,2012
2030,p60,37,646.0,2012
2030,p60,38,619.0,2012
2030,p60,39,534.0,2012
2030,p60,40,695.0,2012
2030,p60,41,547.0,2012
2030,p60,42,594.0,2012
2030,p60,43,539.0,2012
2030,p60,44,657.0,2012
2030,p60,45,563.0,2012
2030,p60,46,748.0,2012
2030,p60,47,582.0,2012
2030,p60,48,691.0,2012
2030,p60,49,627.0,2012
2030,p60,50,719.0,2012
2030,p60,51,604.0,2012
2030,p60,52,663.0,2012
2030,p60,53,662.0,2012
2030,p60,54,594.0,2012
2030,p60,55,669.0,2012
2030,p60,56,543.0,2012
2030,p60,57,753.0,2012
2030,p60,58,553.0,2012
2030,p60,59,748.0,2012
2030,p60,60,549.0,2012
2030,p60,61,823.0,2012
2030,p60,62,608.0,2012
2030,p60,63,785.0,2012
2030,p60,64,584.0,2012
2030,p60,65,737.0,2012
2030,p60,66,623.0,2012
2030,p60,67,806.0,2012
2030,p60,68,665.0,2012
2030,p60,69,763.0,2012
2030,p60,70,663.0,2012
2030,p60,71,652.0,2012
2030,p60,72,687.0,2012
2030,p60,73,604.0,2012
2030,p60,74,623.0,2012
2030,p60,75,544.0,2012
2030,p60,76,765.0,2012
2030,p60,77,611.0,2012
2030,p60,78,878.0,2012
2030,p60,79,572.0,2012
2030,p60,80,889.0,2012
2030,p60,81,617.0,2012
2030,p60,82,949.0,2012
2030,p60,83,606.0,2012
2030,p60,84,849.0,2012
2030,p60,85,661.0,2012
2030,p60,86,793.0,2012
2030,p60,87,668.0,2012
2030,p60,88,687.0,2012
2030,p60,89,711.0,2012
2030,p60,90,642.0,2012
2030,p60,91,772.0,2012
2030,p60,92,665.0,2012
2030,p60,93,818.0,2012
2030,p60,94,638.0,2012
2030,p60,95,952.0,2012
2030,p60,96,668.0,2012
2030,p60,97,936.0,2012
2030,p60,98,625.0,2012
2030,p60,99,1066.0,2012
2030,p60,100,664.0,2012
2030,p60,101,936.0,2012
2030,p60,102,629.0,2012
2030,p60,103,998.0,2012
2030,p60,104,757.0,2012
2030,p60,105,831.0,2012
2030,p60,106,708.0,2012
2030,p60,107,872.0,2012
2030,p60,108,863.0,2012
2030,p60,109,802.0,2012
2030,p60,110,932.0,2012
2030,p60,111,722.0,2012
2030,p60,112,974.0,2012
2030,p60,113,672.0,2012
2030,p60,114,1005.0,2012
2030,p60,115,661.0,2012
2030,p60,116,1069.0,2012
2030,p60,117,716.0,2012
2030,p60,118,1172.0,2012
2030,p60,119,744.0,2012
2030,p60,120,941.0,2012
2030,p60,121,735.0,2012
2030,p60,122,985.0,2012
2030,p60,123,779.0,2012
2030,p60,124,970.0,2012
2030,p60,125,727.0,2012
2030,p60,126,843.0,2012
2030,p60,127,840.0,2012
2030,p60,128,791.0,2012
2030,p60,129,905.0,2012
2030,p60,130,662.0,2012
2030,p60,131,1003.0,2012
2030,p60,132,715.0,2012
2030,p60,133,1125.0,2012
2030,p60,134,709.0,2012
2030,p60,135,1077.0,2012
2030,p60,136,737.0,2012
2030,p60,137,1103.0,2012
2030,p60,138,686.0,2012
2030,p60,139,1086.0,2012
2030,p60,140,776.0,2012
2030,p60,141,1104.0,2012
2030,p60,142,823.0,2012
2030,p60,143,987.0,2012
2030,p60,144,921.0,2012
2030,p60,145,955.0,2012
2030,p60,146,989.0,2012
2030,p60,147,791.0,2012
2030,p60,148,966.0,2012
2030,p60,149,778.0,2012
2030,p60,150,1057.0,2012
2030,p60,151,742.0,2012
2030,p60,152,921.0,2012
2030,p60,153,642.0,2012
2030,p60,154,934.0,2012
2030,p60,155,669.0,2012
2030,p60,156,999.0,2012
2030,p60,157,661.0,2012
2030,p60,158,1023.0,2012
2030,p60,159,746.0,2012
2030,p60,160,1016.0,2012
2030,p60,161,795.0,2012
2030,p60,162,938.0,2012
2030,p60,163,910.0,2012
2030,p60,164,868.0,2012
2030,p60,165,978.0,2012
2030,p60,166,651.0,2012
2030,p60,167,895.0,2012
2030,p60,168,675.0,2012
2030,p60,169,887.0,2012
2030,p60,170,565.0,2012
2030,p60,171,740.0,2012
2030,p60,172,582.0,2012
2030,p60,173,889.0,2012
2030,p60,174,599.0,2012
2030,p60,175,908.0,2012
2030,p60,176,684.0,2012
2030,p60,177,938.0,2012
2030,p60,178,727.0,2012
2030,p60,179,803.0,2012
2030,p60,180,612.0,2012
2030,p60,181,687.0,2012
2030,p60,182,687.0,2012
2030,p60,183,708.0,2012
2030,p60,184,696.0,2012
2030,p60,185,553.0,2012
2030,p60,186,707.0,2012
2030,p60,187,589.0,2012
2030,p60,188,875.0,2012
2030,p60,189,589.0,2012
2030,p60,190,792.0,2012
2030,p60,191,559.0,2012
2030,p60,192,755.0,2012
2030,p60,193,542.0,2012
2030,p60,194,838.0,2012
2030,p60,195,686.0,2012
2030,p60,196,853.0,2012
2030,p60,197,657.0,2012
2030,p60,198,623.0,2012
2030,p60,199,713.0,2012
2030,p60,200,628.0,2012
2030,p60,201,696.0,2012
2030,p60,202,643.0,2012
2030,p60,203,648.0,2012
2030,p60,204,565.0,2012
2030,p60,205,689.0,2012
2030,p60,206,557.0,2012
2030,p60,207,702.0,2012
2030,p60,208,548.0,2012
2030,p60,209,662.0,2012
2030,p60,210,629.0,2012
2030,p60,211,652.0,2012
2030,p60,212,592.0,2012
